  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
  -18.3689     1.2203   -67.811    0.168579    0.000000    0.413367   -3.615304    0.015366     0.0000    0.0000    0.2335    0.0000
  -18.3643     1.2215   -22.277    0.251228    0.000000    0.102924   -4.248313    0.004707     0.0000    0.0000    0.2563    0.0001
  -18.3553     1.2239   -15.811    0.348651    0.000000    0.098736   -4.871382    0.010096     0.0000    0.0000    0.2367    0.0016
  -18.3417     1.2276   -12.922    0.444629    0.000000    0.102019   -5.534961    0.011810     0.0000    0.0000    0.2301    0.0079
  -18.3236     1.2324   -11.258    0.537589    0.000000    0.107012   -6.170674    0.011643     0.0000    0.0000    0.2288    0.0262
  -18.3009     1.2384   -10.206    0.627069    0.000000    0.112898   -6.838378    0.009167     0.0000    0.0000    0.2323    0.0683
  -18.2738     1.2457    -9.430    0.712602    0.000000    0.118358   -7.563275    0.004240     0.0000    0.0000    0.2392    0.1518
  -18.2421     1.2541    -8.800    0.793837    0.000000    0.122894   -8.309431   -0.002635     0.0000    0.0000    0.2477    0.3011
  -18.2059     1.2638    -8.260    0.870522    0.000000    0.126373   -9.029725   -0.010673     0.0000    0.0000    0.2563    0.5485
  -18.1653     1.2746    -7.779    0.942476    0.000000    0.128741   -9.697077   -0.019285     0.0000    0.0000    0.2644    0.9348
  -18.1201     1.2866    -7.338    1.009577    0.000000    0.129997   -10.299491   -0.028130     0.0000    0.0000    0.2717    1.5099
  -18.0705     1.2999    -6.926    1.071765    0.000000    0.130183   -10.831483   -0.036979     0.0000    0.0000    0.2782    2.3341
  -18.0165     1.3143    -6.537    1.129034    0.000000    0.129358   -11.290509   -0.045646     0.0000    0.0000    0.2841    3.4780
  -17.9580     1.3299    -6.165    1.181435    0.000000    0.127609   -11.675784   -0.053996     0.0000    0.0000    0.2893    5.0234
  -17.8950     1.3467    -5.810    1.229070    0.000000    0.125040   -11.988810   -0.061923     0.0000    0.0000    0.2939    7.0638
  -17.8277     1.3647    -5.469    1.272088    0.000000    0.121771   -12.232162   -0.069347     0.0000    0.0000    0.2980    9.7042
  -17.7559     1.3838    -5.142    1.310677    0.000000    0.117924   -12.409369   -0.076215     0.0000    0.0000    0.3016   13.0622
  -17.6798     1.4041    -4.830    1.345063    0.000000    0.113630   -12.524865   -0.082496     0.0000    0.0000    0.3047   17.2676
  -17.5993     1.4256    -4.532    1.375495    0.000000    0.109016   -12.583507   -0.088178     0.0000    0.0000    0.3074   22.4631
  -17.5144     1.4482    -4.252    1.402248    0.000000    0.104235   -12.590411   -0.093277     0.0000    0.0000    0.3098   28.8042
  -17.4252     1.4720    -3.988    1.425594    0.000000    0.099363   -12.550892   -0.097810     0.0000    0.0000    0.3119   36.4594
  -17.3318     1.4969    -3.741    1.445820    0.000000    0.094521   -12.470202   -0.101810     0.0000    0.0000    0.3136   45.6104
  -17.2340     1.5230    -3.513    1.463202    0.000000    0.089792   -12.353274   -0.105318     0.0000    0.0000    0.3152   56.4525
  -17.1321     1.5502    -3.302    1.478009    0.000000    0.085240   -12.204864   -0.108380     0.0000    0.0000    0.3165   69.1942
  -17.0258     1.5785    -3.109    1.490497    0.000000    0.080923   -12.029477   -0.111040     0.0000    0.0000    0.3177   84.0580
  -16.9154     1.6080    -2.933    1.500902    0.000000    0.076872   -11.831169   -0.113342     0.0000    0.0000    0.3187   101.2801
  -16.8008     1.6386    -2.774    1.509442    0.000000    0.073108   -11.613615   -0.115329     0.0000    0.0000    0.3195   121.1107
  -16.6821     1.6702    -2.631    1.516317    0.000000    0.069638   -11.380226   -0.117037     0.0000    0.0000    0.3203   143.8141
  -16.5592     1.7030    -2.503    1.521709    0.000000    0.066476   -11.134017   -0.118505     0.0000    0.0000    0.3210   169.6691
  -16.4323     1.7369    -2.388    1.525777    0.000000    0.063603   -10.877628   -0.119763     0.0000    0.0000    0.3216   198.9688
  -16.3013     1.7718    -2.287    1.528670    0.000000    0.061026   -10.613415   -0.120838     0.0000    0.0000    0.3222   232.0209
  -16.1663     1.8078    -2.198    1.530512    0.000000    0.058715   -10.343435   -0.121757     0.0000    0.0000    0.3227   269.1478
  -16.0273     1.8449    -2.120    1.531418    0.000000    0.056660   -10.069508   -0.122538     0.0000    0.0000    0.3232   310.6868
  -15.8843     1.8830    -2.052    1.531487    0.000000    0.054841   -9.793166   -0.123202     0.0000    0.0000    0.3236   356.9900
  -15.7374     1.9222    -1.994    1.530810    0.000000    0.053248   -9.515803   -0.123763     0.0000    0.0000    0.3240   408.4243
  -15.5867     1.9624    -1.944    1.529463    0.000000    0.051864   -9.238607   -0.124238     0.0000    0.0000    0.3244   465.3717
  -15.4320     2.0037    -1.900    1.527510    0.000000    0.050645   -8.962526   -0.124632     0.0000    0.0000    0.3248   528.2293
  -15.2736     2.0459    -1.865    1.525019    0.000000    0.049611   -8.688484   -0.124961     0.0000    0.0000    0.3251   597.4089
  -15.1114     2.0892    -1.835    1.522041    0.000000    0.048733   -8.417212   -0.125232     0.0000    0.0000    0.3255   673.3372
  -14.9455     2.1334    -1.812    1.518621    0.000000    0.047995   -8.149320   -0.125454     0.0000    0.0000    0.3258   756.4559
  -14.7759     2.1787    -1.793    1.514801    0.000000    0.047384   -7.885343   -0.125631     0.0000    0.0000    0.3262   847.2210
  -14.6027     2.2249    -1.780    1.510617    0.000000    0.046891   -7.625699   -0.125770     0.0000    0.0000    0.3265   946.1032
  -14.4258     2.2721    -1.770    1.506101    0.000000    0.046503   -7.370753   -0.125875     0.0000    0.0000    0.3269   1053.5874
  -14.2454     2.3202    -1.765    1.501279    0.000000    0.046207   -7.120786   -0.125950     0.0000    0.0000    0.3272   1170.1723
  -14.0615     2.3692    -1.763    1.496176    0.000000    0.045997   -6.876030   -0.125999     0.0000    0.0000    0.3275   1296.3704
  -13.8741     2.4192    -1.764    1.490815    0.000000    0.045864   -6.636655   -0.126025     0.0000    0.0000    0.3279   1432.7076
  -13.6833     2.4701    -1.768    1.485212    0.000000    0.045795   -6.402784   -0.126031     0.0000    0.0000    0.3282   1579.7226
  -13.4891     2.5219    -1.775    1.479388    0.000000    0.045797   -6.174534   -0.126020     0.0000    0.0000    0.3286   1737.9664
  -13.2916     2.5746    -1.784    1.473353    0.000000    0.045849   -5.951952   -0.125992     0.0000    0.0000    0.3289   1908.0022
